chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr21	40816849	40818174	genic|chr21:40816849-40818174	WRB-SH3BGR	40752169		0.029339
chr21	40816849	40818174	genic|chr21:40816849-40818174	WRB	40752212		0.029339
chr21	40983518	40984018	genic|chr21:40983518-40984018	B3GALT5-AS1	40984749		0.055574
chr21	42540286	42541450	genic|chr21:42540286-42541450	BACE2	42539727		0.226889
chr21	43188206	43189207	intergenic|chr21:43188206-43189207	RIPK4	43187249		0.173651
chr21	43638096	43638596	intergenic|chr21:43638096-43638596	ABCG1	43639266		0.021279
chr21	44579005	44580007	intergenic|chr21:44579005-44580007	PDXK	45138977		0.023795
chr21	44802429	44803656	intergenic|chr21:44802429-44803656	LINC01679	44782229		0.046196
chr21	44847754	44848254	intergenic|chr21:44847754-44848254	SIK1	44847012		0.108459
chr21	44847754	44848254	intergenic|chr21:44847754-44848254	LOC102724428	44847069		0.108459
chr21	45917962	45918462	genic|chr21:45917962-45918462	TSPEAR-AS1	45925926		0.065574
chr21	46220704	46221204	genic|chr21:46220704-46221204	UBE2G2	46221751		0.102491
chr21	46423307	46423807	genic|chr21:46423307-46423807	PICSAR	46424642		0.178735
chr21	46432009	46432830	intergenic|chr21:46432009-46432830	LINC00163	46414001		0.033478
chr21	46432009	46432830	intergenic|chr21:46432009-46432830	PICSAR	46424642		0.024696
chr21	46974517	46976371	intergenic|chr21:46974517-46976371	COL6A1	47401662		0.031498
chr21	47393443	47394434	genic|chr21:47393443-47394434	LOC101928796	47392883		0.162900
chr16	115609	116109	genic|chr16:115609-116109	MPG	128168		0.027355
chr16	146667	147406	genic|chr16:146667-147406	POLR3K	103632		0.027201
chr16	146667	147406	genic|chr16:146667-147406	SNRNP25	103828		0.027200
chr16	433265	434227	genic|chr16:433265-434227	LOC100134368	432240		0.179757
chr16	441624	442226	genic|chr16:441624-442226	TMEM8A	431950		0.059849
chr16	697895	698395	genic|chr16:697895-698395	LOC105371038	699313		0.065237
chr16	697895	698395	genic|chr16:697895-698395	WDR90	699362		0.065237
chr16	745227	746160	genic|chr16:745227-746160	JMJD8	734446		0.026332
chr16	750466	751145	genic|chr16:750466-751145	FBXL16	755825		0.091113
chr16	761650	762150	intergenic|chr16:761650-762150	FBXL16	755825		0.054784
chr16	765995	766622	genic|chr16:765995-766622	STUB1	730110		0.037830
chr16	765995	766622	genic|chr16:765995-766622	FBXL16	755825		0.133856
chr16	765995	766622	genic|chr16:765995-766622	METRN	765172		0.460160
chr16	765995	766622	genic|chr16:765995-766622	CCDC78	776473		0.040509
chr16	765995	766622	genic|chr16:765995-766622	HAGHL	776935		0.040506
chr16	809477	809977	intergenic|chr16:809477-809977	MSLN	810764		0.102689
chr16	1143467	1143967	genic|chr16:1143467-1143967	C1QTNF8	1146244		0.072157
chr16	1144035	1144535	genic|chr16:1144035-1144535	C1QTNF8	1146244		0.073013
chr16	1148512	1149069	intergenic|chr16:1148512-1149069	C1QTNF8	1146244		0.095026
chr16	1457908	1458785	genic|chr16:1457908-1458785	CLCN7	1525085		0.025362
chr16	1660027	1661576	genic|chr16:1660027-1661576	IFT140	1662109		0.048320
chr16	1660027	1661576	genic|chr16:1660027-1661576	RPS2	2014827		0.022527
chr16	1660027	1661576	genic|chr16:1660027-1661576	SNHG9	2014996		0.022527
chr16	1730957	1731457	genic|chr16:1730957-1731457	HN1L	1728277		0.103197
chr16	1757331	1757831	genic|chr16:1757331-1757831	MAPK8IP3	1756183		0.025230
chr16	1970743	1971325	intergenic|chr16:1970743-1971325	MSRB1	1993327		0.024975
chr16	2053504	2054452	genic|chr16:2053504-2054452	MSRB1	1993327		0.034091
chr16	2070081	2070976	genic|chr16:2070081-2070976	NPW	2069520		0.100390
chr16	2072588	2073720	intergenic|chr16:2072588-2073720	NPW	2069520		0.190109
chr16	2108099	2109352	genic|chr16:2108099-2109352	NPW	2069520		0.041387
chr16	2247205	2247705	intergenic|chr16:2247205-2247705	MLST8	2255177		0.020341
chr16	2287628	2288128	genic|chr16:2287628-2288128	DNASE1L2	2286467		0.075339
chr16	2550898	2551914	genic|chr16:2550898-2551914	CEMP1	2581409		0.033935
chr16	2742414	2742914	genic|chr16:2742414-2742914	KCTD5	2732494		0.027159
chr16	2948693	2949375	genic|chr16:2948693-2949375	FLYWCH1	2961979		0.031847
chr16	2969380	2970295	genic|chr16:2969380-2970295	FLYWCH1	2961979		0.028704
chr16	2975081	2975766	genic|chr16:2975081-2975766	FLYWCH1	2961979		0.029064
chr16	2976978	2977478	genic|chr16:2976978-2977478	FLYWCH1	2961979		0.021342
chr16	3014798	3015298	genic|chr16:3014798-3015298	KREMEN2	3014216		0.119070
chr16	3019801	3020506	genic|chr16:3019801-3020506	PAQR4	3019245		0.135449
chr16	3031340	3032193	intergenic|chr16:3031340-3032193	PKMYT1	3030540		0.200066
chr16	3199563	3201306	genic|chr16:3199563-3201306	CLDN6	3068188		0.055708
chr16	3199563	3201306	genic|chr16:3199563-3201306	TNFRSF12A	3070312		0.048813
chr16	3199563	3201306	genic|chr16:3199563-3201306	ZNF263	3333486		0.024247
chr16	3451772	3452348	genic|chr16:3451772-3452348	ZSCAN32	3451065		0.051334
chr16	3451772	3452348	genic|chr16:3451772-3452348	ZNF174	3451189		0.051334
chr16	3694975	3696232	intergenic|chr16:3694975-3696232	DNASE1	3702939		0.209510
chr16	4338200	4338996	intergenic|chr16:4338200-4338996	GLIS2-AS1	4378341		0.026891
chr16	4343514	4344502	intergenic|chr16:4343514-4344502	GLIS2-AS1	4378341		0.041488
chr16	4380234	4380734	intergenic|chr16:4380234-4380734	GLIS2-AS1	4378341		0.061206
chr16	4408993	4409611	genic|chr16:4408993-4409611	VASN	4421848		0.048922
chr16	4465442	4466153	genic|chr16:4465442-4466153	CORO7-PAM16	4466962		0.176793
chr16	4465442	4466153	genic|chr16:4465442-4466153	CORO7	4466962		0.176793
chr16	4665836	4666976	intergenic|chr16:4665836-4666976	CREBBP	3930121		0.053000
chr16	4665836	4666976	intergenic|chr16:4665836-4666976	CDIP1	4588816		0.056386
chr16	4665836	4666976	intergenic|chr16:4665836-4666976	UBALD1	4664927		0.417549
chr16	4818407	4819072	intergenic|chr16:4818407-4819072	ZNF500	4817219		0.114950
chr16	4993053	4993947	intergenic|chr16:4993053-4993947	NAGPA-AS1	5083702		0.028254
chr16	4993053	4993947	intergenic|chr16:4993053-4993947	NAGPA	5083942		0.028255
chr16	4994712	4995212	intergenic|chr16:4994712-4995212	PPL	4987136		0.035794
chr16	5085328	5085828	genic|chr16:5085328-5085828	NAGPA-AS1	5083702		0.077177
chr16	5085328	5085828	genic|chr16:5085328-5085828	NAGPA	5083942		0.077180
chr16	5659142	5659642	genic|chr16:5659142-5659642	LINC01570	5666251		0.043624
chr16	9186380	9186880	genic|chr16:9186380-9186880	C16orf72	9185536		0.143324
chr16	9615884	9616384	intergenic|chr16:9615884-9616384	PRM2	11370337		0.021572
chr16	11351058	11351792	intergenic|chr16:11351058-11351792	SOCS1	11350039		0.436233
chr16	11679683	11680183	genic|chr16:11679683-11680183	LITAF	11680806		0.242389
chr16	15521357	15521857	intergenic|chr16:15521357-15521857	C16orf45	15528324		0.047836
chr16	19301124	19302047	genic|chr16:19301124-19302047	CLEC19A	19297104		0.020904
chr16	19301124	19302047	genic|chr16:19301124-19302047	GDE1	19533467		0.043486
chr16	19302296	19303943	genic|chr16:19302296-19303943	CLEC19A	19297104		0.034495
chr16	19302296	19303943	genic|chr16:19302296-19303943	TMC5	19422056		0.027669
chr16	19302296	19303943	genic|chr16:19302296-19303943	C16orf62	19566736		0.026641
chr16	19897513	19898013	intergenic|chr16:19897513-19898013	GPRC5B	19896233		0.163222
chr16	21167938	21168438	genic|chr16:21167938-21168438	TMEM159	21169697		0.144349
chr16	21520235	21520735	intergenic|chr16:21520235-21520735	SMG1P3	21513602		0.042026
chr16	22206807	22207802	intergenic|chr16:22206807-22207802	POLR3E	22308695		0.031430
chr16	23410265	23411140	genic|chr16:23410265-23411140	COG7	23464512		0.025519
chr16	23446601	23447197	genic|chr16:23446601-23447197	COG7	23464512		0.044750
chr16	23515976	23516827	genic|chr16:23515976-23516827	EARS2	23568696		0.028961
chr16	23515976	23516827	genic|chr16:23515976-23516827	UBFD1	23568861		0.028961
chr16	23520229	23520729	genic|chr16:23520229-23520729	GGA2	23521815		0.031504
chr16	23608287	23608787	intergenic|chr16:23608287-23608787	NDUFAB1	23607639		0.117812
chr16	23814724	23815394	intergenic|chr16:23814724-23815394	CHP2	23765947		0.031346
chr16	23848229	23848729	genic|chr16:23848229-23848729	PRKCB	23847299		0.094799
chr16	24697129	24698341	intergenic|chr16:24697129-24698341	TNRC6A	24741048		0.029491
chr16	25118031	25118732	genic|chr16:25118031-25118732	LINC02175	25078207		0.061247
chr16	25118031	25118732	genic|chr16:25118031-25118732	LCMT1-AS1	25122876		0.242295
chr16	25118031	25118732	genic|chr16:25118031-25118732	LCMT1	25123046		0.226641
chr16	27120813	27121997	intergenic|chr16:27120813-27121997	C16orf82	27078218		0.060162
chr16	28941790	28942558	intergenic|chr16:28941790-28942558	TUFM	28857729		0.024350
chr16	28941790	28942558	intergenic|chr16:28941790-28942558	NFATC2IP	28962317		0.069349
chr16	29687365	29687865	intergenic|chr16:29687365-29687865	QPRT	29690328		0.049233
chr16	29818801	29819659	genic|chr16:29818801-29819659	KIF22	29802033		0.032571
chr16	29909269	29909769	genic|chr16:29909269-29909769	SEZ6L2	29910585		0.068974
chr16	30043252	30043986	intergenic|chr16:30043252-30043986	FAM57B	30042186		0.219109
chr16	30106114	30106614	genic|chr16:30106114-30106614	YPEL3	30107521		0.112019
chr16	30106114	30106614	genic|chr16:30106114-30106614	LOC101928595	30107750		0.112020
chr16	30123322	30123822	genic|chr16:30123322-30123822	GDPD3	30124878		0.056558
chr16	30388711	30390508	genic|chr16:30388711-30390508	TMEM219	29973350		0.043904
chr16	30388711	30390508	genic|chr16:30388711-30390508	CD2BP2	30366682		0.053247
chr16	30388711	30390508	genic|chr16:30388711-30390508	MYLPF	30386097		0.698775
chr16	30388711	30390508	genic|chr16:30388711-30390508	SEPHS2	30457296		0.103582
chr16	30388711	30390508	genic|chr16:30388711-30390508	PRSS36	31161415		0.021506
chr16	30388711	30390508	genic|chr16:30388711-30390508	LINC00273	33962503		0.022362
chr16	30420716	30421216	genic|chr16:30420716-30421216	ZNF771	30418734		0.072086
chr16	30428944	30429651	genic|chr16:30428944-30429651	TBX6	30103205		0.024246
chr16	30428944	30429651	genic|chr16:30428944-30429651	SMG1P5	30346695		0.057430
chr16	30428944	30429651	genic|chr16:30428944-30429651	ZNF768	30537910		0.049432
chr16	30645324	30646451	intergenic|chr16:30645324-30646451	ZNF689	30621707		0.071031
chr16	30912946	30914166	genic|chr16:30912946-30914166	CTF1	30907927		0.108920
chr16	30921734	30922483	intergenic|chr16:30921734-30922483	CTF1	30907927		0.022464
chr16	30952978	30953836	genic|chr16:30952978-30953836	STX1B	31021959		0.020790
chr16	30961256	30961756	genic|chr16:30961256-30961756	ORAI3	30960404		0.043656
chr16	30964902	30965402	genic|chr16:30964902-30965402	ORAI3	30960404		0.051031
chr16	31053286	31054276	intergenic|chr16:31053286-31054276	VKORC1	31106320		0.023900
chr16	31116875	31117520	intergenic|chr16:31116875-31117520	VKORC1	31106320		0.039665
chr16	31116875	31117520	intergenic|chr16:31116875-31117520	BCKDK	31119614		0.028098
chr16	31116875	31117520	intergenic|chr16:31116875-31117520	KAT8	31128984		0.052510
chr16	31153013	31153938	genic|chr16:31153013-31153938	PRSS8	31147083		0.313865
chr16	31153013	31153938	genic|chr16:31153013-31153938	ZNF267	31885078		0.022570
chr16	31189997	31190497	intergenic|chr16:31189997-31190497	FUS	31191430		0.051679
chr16	31226929	31227710	genic|chr16:31226929-31227710	PYDC1	31228414		0.120929
chr16	31708181	31708681	intergenic|chr16:31708181-31708681	CLUHP3	31711933		0.053330
chr16	48399138	48400296	genic|chr16:48399138-48400296	LONP2	48278077		0.030243
chr16	49314104	49314604	genic|chr16:49314104-49314604	CBLN1	49315742		0.095153
chr16	50729828	50730328	intergenic|chr16:50729828-50730328	NOD2	50731049		0.092878
chr16	51557248	51558246	intergenic|chr16:51557248-51558246	LPCAT2	55542912		0.022866
chr16	52579358	52579858	genic|chr16:52579358-52579858	TOX3	52580806		0.104962
chr16	53132555	53134200	genic|chr16:53132555-53134200	CHD9	53088944		0.026729
chr16	53164124	53165883	genic|chr16:53164124-53165883	CHD9	53088944		0.036150
chr16	53790233	53791089	genic|chr16:53790233-53791089	RPGRIP1L	53737850		0.031981
chr16	53790233	53791089	genic|chr16:53790233-53791089	FTO	53737874		0.031981
chr16	55514220	55514720	genic|chr16:55514220-55514720	MMP2	55513080		0.108138
chr16	56314830	56315875	genic|chr16:56314830-56315875	LOC283856	56225006		0.031445
chr16	56314830	56315875	genic|chr16:56314830-56315875	GNAO1	56225250		0.031444
chr16	56643520	56644020	intergenic|chr16:56643520-56644020	MT2A	56642477		0.122090
chr16	56644114	56644614	intergenic|chr16:56644114-56644614	MT2A	56642477		0.024087
chr16	56661165	56661665	intergenic|chr16:56661165-56661665	MT1E	56659584		0.025342
chr16	57125398	57125898	intergenic|chr16:57125398-57125898	CPNE2	57126454		0.090698
chr16	57149185	57149952	genic|chr16:57149185-57149952	ARL2BP	57279037		0.031172
chr16	57333245	57334769	intergenic|chr16:57333245-57334769	ARL2BP	57279037		0.106087
chr16	57333245	57334769	intergenic|chr16:57333245-57334769	CX3CL1	57406372		0.036578
chr16	57407289	57407789	genic|chr16:57407289-57407789	CX3CL1	57406372		0.064627
chr16	57513525	57514613	genic|chr16:57513525-57514613	DOK4	57520385		0.157454
chr16	57781198	57782153	genic|chr16:57781198-57782153	KIFC3	57816281		0.040460
chr16	57802207	57802707	genic|chr16:57802207-57802707	KIFC3	57816281		0.022928
chr16	57809367	57810295	genic|chr16:57809367-57810295	KIFC3	57816281		0.271917
chr16	58018317	58019723	genic|chr16:58018317-58019723	FAM192A	57219976		0.027331
chr16	58018317	58019723	genic|chr16:58018317-58019723	TEPP	58010338		0.021508
chr16	58018317	58019723	genic|chr16:58018317-58019723	ZNF319	58033762		0.141822
chr16	58060540	58061040	genic|chr16:58060540-58061040	MMP15	58059469		0.130345
chr16	58155377	58156251	genic|chr16:58155377-58156251	CFAP20	58163296		0.060358
chr16	58528652	58529989	intergenic|chr16:58528652-58529989	CFAP20	58163296		0.020283
chr16	58528652	58529989	intergenic|chr16:58528652-58529989	NDRG4	58534046		0.059817
chr16	58528652	58529989	intergenic|chr16:58528652-58529989	GOT2	58768261		0.022011
chr16	58545733	58546233	genic|chr16:58545733-58546233	SETD6	58549382		0.165048
chr16	65093013	65094206	genic|chr16:65093013-65094206	CKLF	66586465		0.026120
chr16	65093013	65094206	genic|chr16:65093013-65094206	CKLF-CMTM1	66586465		0.026120
chr16	66398286	66398786	intergenic|chr16:66398286-66398786	CDH5	66400509		0.026284
chr16	66550554	66551595	genic|chr16:66550554-66551595	TK2	66584315		0.025736
chr16	66614336	66615189	genic|chr16:66614336-66615189	CMTM2	66613350		0.189439
chr16	66729475	66729975	genic|chr16:66729475-66729975	CMTM4	66730610		0.104443
chr16	67010569	67011327	intergenic|chr16:67010569-67011327	CES3	66995131		0.039737
chr16	67194694	67195194	genic|chr16:67194694-67195194	TRADD	67193812		0.220779
chr16	67194694	67195194	genic|chr16:67194694-67195194	FBXL8	67193890		0.220778
chr16	67240463	67241247	genic|chr16:67240463-67241247	TMEM208	67261015		0.043069
chr16	67271726	67272226	genic|chr16:67271726-67272226	FHOD1	67281425		0.020901
chr16	67465636	67466458	genic|chr16:67465636-67466458	HSD11B2	67465035		0.211277
chr16	67522733	67523820	intergenic|chr16:67522733-67523820	ATP6V0D1	67515089		0.063983
chr16	67554908	67555825	genic|chr16:67554908-67555825	LOC100505942	67562648		0.030164
chr16	67554908	67555825	genic|chr16:67554908-67555825	RIPOR1	67562716		0.030163
chr16	67554908	67555825	genic|chr16:67554908-67555825	CTCF	67596309		0.036055
chr16	67683065	67683797	genic|chr16:67683065-67683797	CARMIL2	67679029		0.032901
chr16	67701514	67702386	genic|chr16:67701514-67702386	ENKD1	67700659		0.240155
chr16	67701514	67702386	genic|chr16:67701514-67702386	C16orf86	67700716		0.240155
chr16	67876853	67877353	genic|chr16:67876853-67877353	THAP11	67876212		0.137052
chr16	68026848	68027565	genic|chr16:68026848-68027565	DUS2	68056846		0.041920
chr16	68270852	68271818	intergenic|chr16:68270852-68271818	LCAT	67978015		0.035660
chr16	68270852	68271818	intergenic|chr16:68270852-68271818	ESRP2	68270136		0.514498
chr16	69597686	69598402	intergenic|chr16:69597686-69598402	NFAT5	69599868		0.104350
chr16	70413999	70416062	genic|chr16:70413999-70416062	DDX19B	70333061		0.085711
chr16	70413999	70416062	genic|chr16:70413999-70416062	COG4	70557457		0.066948
chr16	70413999	70416062	genic|chr16:70413999-70416062	SF3B3	70557690		0.066964
chr16	70470925	70471425	genic|chr16:70470925-70471425	ST3GAL2	70472991		0.121236
chr16	70471836	70472336	genic|chr16:70471836-70472336	ST3GAL2	70472991		0.132113
chr16	70970586	70971383	intergenic|chr16:70970586-70971383	VAC14	70835061		0.037355
chr16	71391239	71392038	intergenic|chr16:71391239-71392038	CALB2	71392615		0.146275
chr16	75033640	75034140	genic|chr16:75033640-75034140	ZNRF1	75032914		0.053688
chr16	75267668	75268471	genic|chr16:75267668-75268471	BCAR1	75285526		0.064418
chr16	75279865	75280365	genic|chr16:75279865-75280365	BCAR1	75285526		0.074711
chr16	75287201	75287701	intergenic|chr16:75287201-75287701	BCAR1	75285526		0.274238
chr16	75299177	75300512	intergenic|chr16:75299177-75300512	CHST6	75528926		0.032750
chr16	75550217	75551576	intergenic|chr16:75550217-75551576	TMEM170A	75498635		0.028631
chr16	77823025	77823684	genic|chr16:77823025-77823684	VAT1L	77822460		0.122532
chr16	81272805	81273491	genic|chr16:81272805-81273491	BCO1	81272295		0.096928
chr16	81347270	81347770	intergenic|chr16:81347270-81347770	GAN	81348570		0.109828
chr16	83987548	83988048	genic|chr16:83987548-83988048	OSGIN1	83986826		0.103420
chr16	84047373	84048416	genic|chr16:84047373-84048416	SLC38A8	84075762		0.038027
chr16	84310783	84311283	intergenic|chr16:84310783-84311283	WFDC1	84328311		0.048837
chr16	84341659	84342159	genic|chr16:84341659-84342159	WFDC1	84328311		0.054971
chr16	84395574	84396625	intergenic|chr16:84395574-84396625	RNF166	88772829		0.059737
chr16	84395574	84396625	intergenic|chr16:84395574-84396625	CTU2	88772870		0.059738
chr16	84565069	84566791	intergenic|chr16:84565069-84566791	WFDC1	84328311		0.062049
chr16	84580530	84582102	intergenic|chr16:84580530-84582102	MLYCD	83932729		0.045577
chr16	84619120	84619857	genic|chr16:84619120-84619857	COTL1	84651702		0.020722
chr16	84633178	84633756	genic|chr16:84633178-84633756	TAF1C	84220676		0.025063
chr16	85116699	85117402	genic|chr16:85116699-85117402	ZDHHC7	85045141		0.020816
chr16	85361578	85364823	intergenic|chr16:85361578-85364823	SLC38A8	84075762		0.022729
chr16	85361578	85364823	intergenic|chr16:85361578-85364823	ADAD2	84224722		0.026180
chr16	85361578	85364823	intergenic|chr16:85361578-85364823	WFDC1	84328311		0.022124
chr16	85361578	85364823	intergenic|chr16:85361578-85364823	ATP2C2	84402128		0.023944
chr16	85627060	85627940	intergenic|chr16:85627060-85627940	GSE1	85646841		0.037742
chr16	85647599	85648755	genic|chr16:85647599-85648755	GSE1	85646841		0.250790
chr16	86597121	86597886	intergenic|chr16:86597121-86597886	FOXC2-AS1	86601367		0.022361
chr16	86597121	86597886	intergenic|chr16:86597121-86597886	FOXL1	86612114		0.076838
chr16	86599491	86599991	genic|chr16:86599491-86599991	FOXC2	86600856		0.082334
chr16	86612822	86613322	genic|chr16:86612822-86613322	FOXL1	86612114		0.109060
chr16	87421805	87422305	intergenic|chr16:87421805-87422305	MAP1LC3B	87425800		0.072212
chr16	87526279	87527100	intergenic|chr16:87526279-87527100	C16orf95	87351026		0.021700
chr16	87526279	87527100	intergenic|chr16:87526279-87527100	LOC101928659	87351114		0.021700
chr16	87637538	87638038	genic|chr16:87637538-87638038	JPH3	87636492		0.064121
chr16	87811088	87812066	genic|chr16:87811088-87812066	LOC102724467	87812754		0.330827
chr16	88521231	88522368	genic|chr16:88521231-88522368	ZFPM1	88520013		0.401693
chr16	88521231	88522368	genic|chr16:88521231-88522368	ZC3H18	88636788		0.020930
chr16	88699844	88701818	intergenic|chr16:88699844-88701818	CYBA	88717492		0.020373
chr16	88751491	88751991	genic|chr16:88751491-88751991	SNAI3	88752882		0.127216
chr16	88810001	88811385	genic|chr16:88810001-88811385	LOC100289580	88797587		0.022482
chr16	88810001	88811385	genic|chr16:88810001-88811385	LOC339059	88809174		0.413439
chr16	88836931	88837655	genic|chr16:88836931-88837655	CDT1	88870185		0.024434
chr16	89007204	89008657	genic|chr16:89007204-89008657	LOC100129697	89006444		0.363458
chr16	89233494	89234279	genic|chr16:89233494-89234279	ACSF3	89160216		0.050127
chr16	89233494	89234279	genic|chr16:89233494-89234279	LINC00304	89225627		0.034809
chr16	89258403	89260299	genic|chr16:89258403-89260299	SLC22A31	89266529		0.097220
chr16	89267261	89268553	intergenic|chr16:89267261-89268553	SLC22A31	89266529		0.260687
chr16	89355793	89356293	genic|chr16:89355793-89356293	LOC100287036	89387540		0.037149
chr16	89554473	89554973	genic|chr16:89554473-89554973	ANKRD11	89556969		0.046471
chr16	89555465	89556259	genic|chr16:89555465-89556259	ANKRD11	89556969		0.172534
chr16	89557791	89558291	intergenic|chr16:89557791-89558291	ANKRD11	89556969		0.045979
chr16	89631671	89633031	genic|chr16:89631671-89633031	RPL13	89627064		0.027866
chr16	89775534	89776034	genic|chr16:89775534-89776034	VPS9D1-AS1	89778263		0.036740
chr16	89888527	89889437	intergenic|chr16:89888527-89889437	FANCA	89883065		0.074663
chr16	89990235	89991701	genic|chr16:89990235-89991701	TUBB3	89989686		0.574679
chr16	90060832	90062712	genic|chr16:90060832-90062712	CENPBD1	90039240		0.065217
chr16	90148266	90148766	intergenic|chr16:90148266-90148766	DEF8	90015138		0.024667
chr3	4516303	4516803	intergenic|chr3:4516303-4516803	ITPR1	4535031		0.020244
chr3	5028185	5029238	intergenic|chr3:5028185-5029238	BHLHE40	5021096		0.020492
chr3	5028185	5029238	intergenic|chr3:5028185-5029238	BHLHE40-AS1	5021646		0.020492
chr3	8540707	8541338	genic|chr3:8540707-8541338	LMCD1-AS1	8543344		0.025584
chr3	8540707	8541338	genic|chr3:8540707-8541338	LMCD1	8543492		0.025584
chr3	8542021	8542643	genic|chr3:8542021-8542643	LMCD1-AS1	8543344		0.242742
chr3	8542021	8542643	genic|chr3:8542021-8542643	LMCD1	8543492		0.242740
chr3	9289997	9290619	genic|chr3:9289997-9290619	SRGAP3	9291369		0.081747
chr3	9321374	9323115	intergenic|chr3:9321374-9323115	ARL8B	5163929		0.048282
chr3	10594898	10596358	intergenic|chr3:10594898-10596358	FBLN2	13590624		0.032250
chr3	11632482	11633304	genic|chr3:11632482-11633304	MRPS25	15106844		0.033530
chr3	12704445	12704945	genic|chr3:12704445-12704945	RAF1	12705700		0.042704
chr3	12909387	12911388	intergenic|chr3:12909387-12911388	LINC00620	13692220		0.021015
chr3	13008148	13008648	genic|chr3:13008148-13008648	IQSEC1	13009198		0.105872
chr3	13689683	13690492	intergenic|chr3:13689683-13690492	LINC00620	13692220		0.021673
chr3	14589578	14590215	intergenic|chr3:14589578-14590215	GRIP2	14581850		0.023410
chr3	14853453	14853953	intergenic|chr3:14853453-14853953	LINC02011	14852921		0.075140
chr3	15469888	15470388	genic|chr3:15469888-15470388	METTL6	15469054		0.162031
chr3	15469888	15470388	genic|chr3:15469888-15470388	EAF1	15469063		0.162031
chr3	16554107	16554607	genic|chr3:16554107-16554607	RFTN1	16555222		0.111675
chr3	18465920	18467924	genic|chr3:18465920-18467924	KCNH8	19190016		0.021593
chr3	19190833	19191333	genic|chr3:19190833-19191333	KCNH8	19190016		0.076216
chr3	23851627	23852704	genic|chr3:23851627-23852704	UBE2E1-AS1	23848396		0.031565
chr3	25467805	25468305	intergenic|chr3:25467805-25468305	RARB	25469753		0.082854
chr3	25496075	25496755	genic|chr3:25496075-25496755	RARB	25469753		0.022724
chr3	28118973	28119555	intergenic|chr3:28118973-28119555	NEK10	27410951		0.021387
